index,probability_not_bacteriocin,probability_bacteriocin
2474.0,0.0002,0.0008
2480.0,0.0002,0.9963
2481.0,0.0003,0.7522
2482.0,0.0007,0.1627
2483.0,0.0002,0.7884
2486.0,0.0019,0.0021
2488.0,0.0,0.0055
2490.0,0.0,0.9927
2496.0,0.0,0.9714
2497.0,0.0,0.9919
2499.0,0.0004,0.9177
2502.0,0.0003,0.0006
2504.0,0.0002,0.0002
2505.0,0.0,0.1327
2513.0,0.0001,0.0132
2514.0,0.0,0.4843
2518.0,0.0008,0.8069
2519.0,0.0,0.0151
2520.0,0.0002,0.001
2521.0,0.0,0.9602
2522.0,0.0,0.3924
2523.0,0.0002,0.1398
2525.0,0.0001,0.1347
2529.0,0.003,0.0036
2530.0,0.0016,0.0062
2531.0,0.0,0.9999
2534.0,0.0009,0.0068
2540.0,0.0001,0.0021
2553.0,0.0,0.6736
2564.0,0.0,0.9974
2565.0,0.0002,0.03
2567.0,0.001,0.5624
2569.0,0.0003,0.014
2572.0,0.0011,0.0013
2573.0,0.0,1.0
2580.0,0.0,0.4565
2583.0,0.0099,0.1184
2584.0,0.0,0.094
2585.0,0.0002,0.0027
2587.0,0.0001,0.1327
2593.0,0.0,0.8586
2594.0,0.0001,0.5548
2597.0,0.0,0.9999
2599.0,0.0014,0.0048
2602.0,0.0005,0.0332
2603.0,0.0001,0.0239
2605.0,0.0,0.3208
2606.0,0.0023,0.1075
2610.0,0.0017,0.0116
2613.0,0.0007,0.1194
2615.0,0.0,0.9537
2616.0,0.0,0.9409
2619.0,0.0,0.9529
2621.0,0.0,0.0244
2624.0,0.0,0.9334
2628.0,0.0,0.8973
2629.0,0.0,0.7193
2632.0,0.0001,0.2936
2633.0,0.0006,0.8785
2635.0,0.0003,0.01
2646.0,0.0,0.9301
2647.0,0.0001,0.2734
2648.0,0.0,0.0316
2650.0,0.0004,0.9165
2651.0,0.0002,0.1546
2652.0,0.0077,0.0758
2653.0,0.0017,0.0845
2654.0,0.0001,0.0982
2656.0,0.0001,0.9863
2658.0,0.0002,0.0403
2668.0,0.0,0.6835
2669.0,0.0009,0.001
2670.0,0.0,0.0294
2677.0,0.0001,0.0086
2678.0,0.0,0.9906
2687.0,0.0002,0.0202
2688.0,0.0023,0.0217
2691.0,0.0001,0.5577
2692.0,0.0,0.988
2693.0,0.0,1.0
2694.0,0.0,1.0
2696.0,0.0009,0.0039
2707.0,0.0123,0.057
2711.0,0.0003,0.0318
2712.0,0.0004,0.4471
2714.0,0.0005,0.9062
2715.0,0.0005,0.0037
2720.0,0.0001,0.9752
2728.0,0.0001,0.007
2731.0,0.0002,0.0006
2732.0,0.0003,0.7395
2736.0,0.0,0.4889
2738.0,0.0004,0.3648
2740.0,0.0007,0.0034
2744.0,0.0002,0.2
2748.0,0.0001,0.0008
2750.0,0.0,0.0635
2751.0,0.0006,0.2567
2753.0,0.0002,0.0015
2755.0,0.0003,0.2382
2756.0,0.0001,0.017
2758.0,0.0022,0.0072
2761.0,0.0,0.0053
2762.0,0.0006,0.01
2763.0,0.0001,0.0048
2764.0,0.0,0.9467
2765.0,0.0005,0.003
2767.0,0.0003,0.0029
2769.0,0.0,0.7672
2771.0,0.0006,0.299
2773.0,0.0,0.9759
2774.0,0.0004,0.0079
2775.0,0.0,0.9998
2778.0,0.0,0.0359
2781.0,0.0004,0.0005
2782.0,0.0,0.9728
2783.0,0.0,1.0
2787.0,0.0112,0.7535
2789.0,0.0003,0.0023
2790.0,0.0016,0.0036
2792.0,0.0,1.0
2793.0,0.0,0.9267
2794.0,0.0001,0.3068
2797.0,0.0067,0.0511
2798.0,0.0,0.9877
2800.0,0.0,0.0597
2801.0,0.0001,0.3782
2804.0,0.0,0.4199
2805.0,0.0,0.5064
2809.0,0.0045,0.1437
2812.0,0.0001,0.1713
2814.0,0.0005,0.5881
2815.0,0.0005,0.0006
2818.0,0.0001,0.4939
2819.0,0.0,0.0018
2820.0,0.0001,0.0028
2821.0,0.0001,0.0042
2824.0,0.0001,0.0443
2831.0,0.0038,0.0106
2832.0,0.0,0.8054
2833.0,0.0004,0.0009
2841.0,0.0005,0.0058
2842.0,0.0002,0.021
2845.0,0.0,0.2484
2848.0,0.0001,0.8059
2849.0,0.0,0.8156
2850.0,0.0,0.9998
2852.0,0.0,1.0
2853.0,0.0001,0.1818
2857.0,0.0002,0.008
2866.0,0.0001,0.2139
2867.0,0.0,0.6539
2868.0,0.0001,0.8231
2869.0,0.0001,0.0013
2870.0,0.0,0.9908
2872.0,0.0,0.0663
2875.0,0.0002,0.0043
2879.0,0.0022,0.014
2880.0,0.0,0.7584
2886.0,0.0161,0.0432
2887.0,0.0003,0.2681
2888.0,0.0009,0.001
2891.0,0.0,0.6887
2893.0,0.0,0.8343
2896.0,0.0,0.9385
2903.0,0.0005,0.0016
2905.0,0.0001,0.2465
2906.0,0.0026,0.0068
2908.0,0.0013,0.9812
2910.0,0.0001,0.0574
2911.0,0.0001,0.0057
2916.0,0.0071,0.0105
2918.0,0.0,1.0
