{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11067649093074804, 0.9691358], [0.004442854495113889, 0.99861306]), 'p_i': 36}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.45189994205663225, 0.7037037], [0.3500940864195275, 0.74687934]), 'p_i': 37}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 38}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.12750732126055986, 0.95679015], [0.0021527764534532276, 0.9993065]), 'p_i': 39}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11140306329966902, 0.95679015], [0.00901103219557967, 0.9993065]), 'p_i': 40}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.14780402625044392, 0.9506173], [0.001903997806845172, 0.9993065]), 'p_i': 41}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.2593486456223475, 0.9506173], [0.001143893933387328, 0.9993065]), 'p_i': 42}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 43}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 2, 'dropout1': 0, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.18749223778277258, 0.9506173], [0.0014552570438735562, 0.99861306]), 'p_i': 44}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 60, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.44814103830283797, 0.95679015], [0.018751825858976213, 0.99167824]), 'p_i': 45}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 120, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.21397029102584453, 0.9506173], [0.0010276434289688736, 0.9993065]), 'p_i': 46}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.39684980592609914, 0.9382716], [0.0013213407154354742, 0.9993065]), 'p_i': 47}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([8.059047747541356, 0.5], [8.059047804791454, 0.5]), 'p_i': 48}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11615791290337873, 0.9506173], [0.017771026401182485, 0.99791956]), 'p_i': 49}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 1, 'dropout1': 0, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.30703958121622776, 0.9506173], [0.000972707721174507, 0.9993065]), 'p_i': 50}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.3064543111824694, 0.9382716], [0.0019290298238713022, 0.99791956]), 'p_i': 51}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 2, 'dropout1': 0, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 120, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.26692498262603703, 0.962963], [0.0009777104187728277, 0.9993065]), 'p_i': 52}
